,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
0,Real Madrid CF,20801,Portugal,94,94,2228,95500000.0,565000.0,Cristiano Ronaldo
1,FC Barcelona,158023,Argentina,93,93,2154,105000000.0,565000.0,L. Messi
2,Paris Saint-Germain,190871,Brazil,92,94,2100,123000000.0,280000.0,Neymar
3,FC Barcelona,176580,Uruguay,92,92,2291,97000000.0,510000.0,L. Suárez
4,FC Bayern Munich,167495,Germany,92,92,1493,61000000.0,230000.0,M. Neuer
5,FC Bayern Munich,188545,Poland,91,91,2143,92000000.0,355000.0,R. Lewandowski
6,Manchester United,193080,Spain,90,92,1458,64500000.0,215000.0,De Gea
7,Chelsea,183277,Belgium,90,91,2096,90500000.0,295000.0,E. Hazard
8,Real Madrid CF,182521,Germany,90,90,2165,79000000.0,340000.0,T. Kroos
9,Juventus,167664,Argentina,90,90,1961,77000000.0,275000.0,G. Higuaín
10,Real Madrid CF,155862,Spain,90,90,2153,52000000.0,310000.0,Sergio Ramos
11,Manchester City,192985,Belgium,89,92,2162,83000000.0,285000.0,K. De Bruyne
12,Chelsea,192119,Belgium,89,92,1282,59000000.0,190000.0,T. Courtois
13,Arsenal,184941,Chile,89,89,2181,67500000.0,265000.0,A. Sánchez
14,Real Madrid CF,177003,Croatia,89,89,2228,57000000.0,340000.0,L. Modrić
15,Real Madrid CF,173731,Wales,89,89,2263,69500000.0,370000.0,G. Bale
16,Manchester City,153079,Argentina,89,89,2074,66500000.0,325000.0,S. Agüero
17,Juventus,138956,Italy,89,89,1867,38000000.0,225000.0,G. Chiellini
18,Juventus,1179,Italy,89,89,1335,4500000.0,110000.0,G. Buffon
19,Juventus,211110,Argentina,88,93,2063,79000000.0,215000.0,P. Dybala
20,Atlético Madrid,200389,Slovenia,88,93,1290,57000000.0,82000.0,J. Oblak
21,Atlético Madrid,194765,France,88,91,2104,75000000.0,150000.0,A. Griezmann
22,FC Bayern Munich,189509,Spain,88,90,2185,70500000.0,225000.0,Thiago
23,Borussia Dortmund,188567,Gabon,88,88,2078,61000000.0,165000.0,P. Aubameyang
24,Milan,184344,Italy,88,88,1995,44000000.0,210000.0,L. Bonucci
25,FC Bayern Munich,183907,Germany,88,88,1989,48000000.0,215000.0,J. Boateng
26,Atlético Madrid,182493,Uruguay,88,88,1930,40000000.0,125000.0,D. Godín
27,FC Bayern Munich,178603,Germany,88,88,2038,48000000.0,215000.0,M. Hummels
28,Arsenal,176635,Germany,88,88,1927,60000000.0,265000.0,M. Özil
29,Tottenham Hotspur,167948,France,88,88,1318,38000000.0,165000.0,H. Lloris
30,Paris Saint-Germain,164240,Brazil,88,88,2124,34000000.0,175000.0,Thiago Silva
31,Manchester United,41236,Sweden,88,88,2075,27000000.0,240000.0,Z. Ibrahimović
32,FC Bayern Munich,9014,Netherlands,88,88,2081,36000000.0,225000.0,A. Robben
33,Chelsea,215914,France,87,90,2154,52500000.0,190000.0,N. Kanté
34,Paris Saint-Germain,199556,Italy,87,91,2154,64500000.0,130000.0,M. Verratti
35,Manchester United,195864,France,87,92,2238,66500000.0,195000.0,P. Pogba
36,Tottenham Hotspur,190460,Denmark,87,91,2064,65000000.0,165000.0,C. Eriksen
37,FC Bayern Munich,181872,Chile,87,87,2278,37500000.0,160000.0,A. Vidal
38,Paris Saint-Germain,179813,Uruguay,87,87,2097,48500000.0,160000.0,E. Cavani
39,Real Madrid CF,176676,Brazil,87,87,2209,38000000.0,250000.0,Marcelo
40,Napoli,171877,Slovakia,87,87,2184,48500000.0,130000.0,M. Hamšík
41,FC Barcelona,168651,Croatia,87,87,2129,48500000.0,275000.0,I. Rakitić
42,Manchester City,168542,Spain,87,87,1977,44000000.0,220000.0,David Silva
43,Inter,162835,Slovenia,87,87,1264,29000000.0,91000.0,S. Handanovič
44,FC Barcelona,152729,Spain,87,87,1974,37500000.0,240000.0,Piqué
45,FC Barcelona,41,Spain,87,87,2073,29500000.0,260000.0,Iniesta
46,Tottenham Hotspur,202126,England,86,90,2057,59000000.0,165000.0,H. Kane
47,FC Bayern Munich,198710,Colombia,86,89,2118,56000000.0,250000.0,J. Rodríguez
48,Real Madrid CF,197781,Spain,86,90,2105,56500000.0,250000.0,Isco
49,FC Bayern Munich,197445,Austria,86,88,2278,44500000.0,150000.0,D. Alaba
50,Manchester United,192505,Belgium,86,90,1997,59000000.0,210000.0,R. Lukaku
51,Juventus,191043,Brazil,86,88,2207,44000000.0,175000.0,Alex Sandro
52,FC Bayern Munich,189596,Germany,86,86,2078,47500000.0,190000.0,T. Müller
53,FC Barcelona,189511,Spain,86,86,1998,36000000.0,250000.0,Sergio Busquets
54,Liverpool,189242,Brazil,86,89,2049,56000000.0,205000.0,Coutinho
55,Borussia Dortmund,188350,Germany,86,86,2157,45000000.0,120000.0,M. Reus
56,Tottenham Hotspur,184087,Belgium,86,87,2047,40500000.0,165000.0,T. Alderweireld
57,Chelsea,179944,Brazil,86,86,2123,33000000.0,190000.0,David Luiz
58,Chelsea,179844,Spain,86,86,1984,46000000.0,235000.0,Diego Costa
59,Roma,178518,Belgium,86,86,2286,42500000.0,130000.0,R. Nainggolan
60,FC Bayern Munich,177610,Spain,86,86,1973,36000000.0,165000.0,Javi Martínez
61,Napoli,175943,Belgium,86,86,2035,43000000.0,135000.0,D. Mertens
62,Borussia Dortmund,172879,Greece,86,86,1885,34500000.0,110000.0,Sokratis
63,Inter,168609,Brazil,86,86,1890,25500000.0,115000.0,Miranda
64,Real Madrid CF,165153,France,86,86,1950,44500000.0,295000.0,K. Benzema
65,Chelsea,162895,Spain,86,86,2118,41000000.0,210000.0,Cesc Fàbregas
66,FC Bayern Munich,156616,France,86,86,1965,22500000.0,175000.0,F. Ribéry
67,Beşiktaş JK,120533,Portugal,86,86,1839,13500000.0,94000.0,Pepe
68,Arsenal,48940,Czech Republic,86,86,1206,10500000.0,92000.0,P. Čech
69,Atlético Madrid,208418,Belgium,85,90,1991,51500000.0,77000.0,Y. Carrasco
70,Real Madrid CF,201535,France,85,92,1875,46500000.0,175000.0,R. Varane
71,Real Madrid CF,200145,Brazil,85,89,2138,42000000.0,195000.0,Casemiro
72,Napoli,198219,Italy,85,86,1949,45000000.0,115000.0,L. Insigne
73,Arsenal,193301,France,85,88,2063,48500000.0,180000.0,A. Lacazette
74,Real Madrid CF,193041,Costa Rica,85,85,1301,24500000.0,165000.0,K. Navas
75,Manchester United,192883,Armenia,85,85,2148,39000000.0,195000.0,H. Mkhitaryan
76,AS Monaco,192593,Croatia,85,85,1305,22000000.0,46000.0,D. Subašić
77,Bayer 04 Leverkusen,192563,Germany,85,88,1247,34000000.0,61000.0,B. Leno
78,FC Barcelona,192448,Germany,85,89,1274,35500000.0,155000.0,M. ter Stegen
79,AS Monaco,190547,Poland,85,85,1612,30000000.0,60000.0,K. Glik
80,FC Barcelona,189332,Spain,85,85,2206,30500000.0,215000.0,Jordi Alba
81,Manchester City,186942,Germany,85,87,2148,46000000.0,190000.0,I. Gündoğan
82,Chelsea,184432,Spain,85,87,2099,37500000.0,160000.0,Azpilicueta
83,Paris Saint-Germain,183898,Argentina,85,85,2115,37500000.0,145000.0,A. Di María
84,Juventus,180206,Bosnia Herzegovina,85,86,2172,43500000.0,160000.0,M. Pjanić
85,Juventus,173210,Italy,85,85,2210,33000000.0,160000.0,C. Marchisio
86,Tottenham Hotspur,172871,Belgium,85,85,2079,28500000.0,130000.0,J. Vertonghen
87,Juventus,170890,France,85,85,2172,28500000.0,145000.0,B. Matuidi
88,AS Saint-Étienne,167628,France,85,85,1257,24500000.0,49000.0,S. Ruffier
89,Atlético Madrid,164169,Brazil,85,85,2134,25000000.0,81000.0,Filipe Luís
90,Manchester City,139720,Belgium,85,85,1913,26000000.0,170000.0,V. Kompany
91,Juventus,137186,Italy,85,85,1750,5000000.0,105000.0,A. Barzagli
92,Manchester United,225508,Ivory Coast,84,89,1890,35500000.0,150000.0,E. Bailly
93,Real Madrid CF,220834,Spain,84,92,1998,46000000.0,175000.0,Marco Asensio
94,Manchester City,218667,Portugal,84,91,2012,43500000.0,165000.0,Bernardo Silva
95,Athletic Club de Bilbao,212218,France,84,89,1919,35500000.0,36000.0,A. Laporte
96,Tottenham Hotspur,211117,England,84,90,2122,43000000.0,115000.0,D. Alli
97,Liverpool,208722,Senegal,84,87,2046,39000000.0,175000.0,S. Mané
98,Real Madrid CF,204963,Spain,84,87,2039,32000000.0,195000.0,Carvajal
99,Paris Saint-Germain,202166,Germany,84,87,2017,39500000.0,120000.0,J. Draxler
100,Inter,201399,Argentina,84,89,1866,42000000.0,105000.0,M. Icardi
101,Chelsea,201153,Spain,84,88,1862,41000000.0,170000.0,Morata
102,Napoli,201024,Senegal,84,87,1610,32500000.0,96000.0,K. Koulibaly
103,1. FC Köln,200316,Germany,84,90,1260,31000000.0,39000.0,T. Horn
104,Atlético Madrid,193747,Spain,84,88,2129,39500000.0,84000.0,Koke
105,Roma,192774,Greece,84,86,1638,31500000.0,96000.0,K. Manolas
106,Arsenal,192227,Germany,84,86,1942,31500000.0,145000.0,S. Mustafi
107,Manchester United,191740,Spain,84,84,2213,32000000.0,190000.0,Ander Herrera
108,Roma,189712,Netherlands,84,85,2165,35000000.0,105000.0,K. Strootman
109,Chelsea,189505,Spain,84,84,1987,30500000.0,200000.0,Pedro
110,Borussia Dortmund,189117,Switzerland,84,86,1257,26000000.0,69000.0,R. Bürki
111,Villarreal CF,184120,Spain,84,84,2059,18500000.0,59000.0,Bruno
112,Inter,181458,Croatia,84,84,2078,31500000.0,110000.0,I. Perišić
113,Roma,180930,Bosnia Herzegovina,84,84,1861,28000000.0,115000.0,E. Džeko
